"","id","rank","workers","company","url","state_l","state_s","city","metro","growth","revenue","industry","yrs_on_list"
"3370",26064,3370,37,"Hanapin Marketing","hanapin-marketing","Indiana","IN","Bloomington","Bloomington IN",100,2533132,"Advertising & Marketing",1
"3371",1114,3371,74,"Atlantic BT","atlantic-bt","North Carolina","NC","Raleigh","Raleigh-Cary NC",100,6996263,"IT Services",6
"3372",24366,3372,11,"Headwind Consumer Products","headwind-consumer-products","Nebraska","NE","Syracuse","",99,2704718,"Consumer Products & Services",2
"3373",17905,3373,67,"Booj","booj","Colorado","CO","Lakewood","Denver",99,6849519,"Software",5
"3374",24389,3374,398,"Empire Office","empire-office","New York","NY","New York","New York City",99,411333000,"Business Products & Services",2
"3375",19905,3375,220,"Aspen Aerogels","aspen-aerogels","Massachusetts","MA","Northborough","Worcester MA",99,86094000,"Energy",2
"3376",26337,3376,80,"Wilcox Communities","wilcox-communities","Ohio","OH","Worthington","Columbus OH",99,33094853,"Real Estate",1
"3377",19405,3377,64,"Maestro Technologies","maestro-technologies","New Jersey","NJ","Edison","New York City",99,6389662,"IT Services",4
"3378",20406,3378,29,"Pro-Vision","pro-vision","Michigan","MI","Byron Center","Allegan MI",99,5838094,"Manufacturing",4
"3379",25278,3379,29,"360 Painting","360-painting","Virginia","VA","Alexandria","Washington DC",99,2301312,"Construction",1
"3380",21758,3380,35,"Reliable Government Solutions","reliable-government-solutions","Maryland","MD","Beltsville","Washington DC",99,8436046,"Government Services",3
"3381",4212,3381,137,"Salem Printing","salem-printing","North Carolina","NC","Winston Salem","Winston-Salem NC",99,27638000,"Manufacturing",7
"3382",17776,3382,65,"Veris Group","veris-group","Virginia","VA","Vienna","Washington DC",99,10240051,"Security",5
"3383",777,3383,32,"PetRelocation","petrelocation","Texas","TX","Austin","Austin",99,7019209,"Logistics & Transportation",6
"3384",22446,3384,55,"Laser Options","laser-options","Arizona","AZ","Phoenix","Phoenix",99,6920000,"Manufacturing",3
"3385",1558,3385,180,"Sriven Systems","sriven-systems","New York","NY","Melville","New York City",99,26820857,"IT Services",6
"3386",22217,3386,14,"Proforma Marketing Agency","proforma-marketing-agency","California","CA","Danville","San Francisco",99,6808000,"Advertising & Marketing",5
"3387",24056,3387,32,"Digital Bungalow","digital-bungalow","Massachusetts","MA","Salem","Boston",99,3804652,"IT Services",2
"3388",24292,3388,38,"Karpel Solutions","karpel-solutions","Missouri","MO","St. Louis","St. Louis MO-IL",99,6390395,"IT Services",2
"3389",24175,3389,11,"Schooley Mitchell","schooley-mitchell","Ohio","OH","Maineville","Cincinnati",99,2168381,"Telecommunications",2
"3390",25998,3390,15,"858 Graphics","858-graphics","California","CA","San Diego","San Diego",99,2092532,"Manufacturing",1
"3391",2077,3391,82,"Pro Food Systems","pro-food-systems","Missouri","MO","Holts Summit","Jefferson City MO",99,36015095,"Food & Beverage",6
"3392",3699,3392,38,"BrightFields","brightfields","Delaware","DE","Wilmington","Philadelphia",99,7246000,"Environmental Services",2
"3393",253,3393,40,"Cali Bamboo","cali-bamboo","California","CA","San Diego","San Diego",99,22464525,"Consumer Products & Services",6
"3394",24161,3394,190,"Buckeye Home Health Care","buckeye-home-health-care","Ohio","OH","Dayton","Dayton OH",99,9015850,"Health",2
"3395",24086,3395,239,"Genesis-ATC","genesis-atc","Texas","TX","San Antonio","San Antonio TX",99,951065127,"Telecommunications",2
"3396",25648,3396,140,"Link-Systems International","link-systems-international","Florida","FL","Tampa","Tampa",99,8829384,"Education",1
"3397",6753,3397,25,"Hayes Software Systems","hayes-software-systems","Texas","TX","Austin","Austin",99,4703040,"Software",3
"3398",25908,3398,19,"Faye Business Systems Group","faye-business-systems-group","California","CA","Woodland Hills","Los Angeles",98,2675815,"Software",1
"3399",26475,3399,46,"Emergent Professional Resources","emergent-professional-resources","Texas","TX","Houston","Houston",98,5735943,"Human Resources",1
"3400",20914,3400,40,"DaySmart Software","daysmart-software","Michigan","MI","Wixom","Detroit",98,6670286,"Software",4
"3401",20516,3401,190,"Morgan-White Group","morgan-white-group","Mississippi","MS","Jackson","Jackson MS",98,109447768,"Insurance",4
"3402",26090,3402,60,"Navel Technologies","navel-technologies","Michigan","MI","Wixom","Detroit",98,6236458,"IT Services",1
"3403",19342,3403,42,"Consolidated Asset Recovery Systems","consolidated-asset-recovery-systems","North Carolina","NC","Raleigh","Raleigh-Cary NC",98,15014369,"Financial Services",3
"3404",162,3404,162,"Summa Technologies","summa-technologies","Pennsylvania","PA","Pittsburgh","Pittsburgh PA",98,26098590,"IT Services",4
"3405",23807,3405,29,"BlueToad","bluetoad","Florida","FL","Orlando","Orlando FL",98,4793739,"Software",2
"3406",22092,3406,1218,"Home Care Assistance","home-care-assistance","California","CA","Palo Alto","San Jose",98,77497271,"Health",3
"3407",26513,3407,34,"Nightlight Pediatric Urgent Care","nightlight-pediatric-urgent-care","Texas","TX","Sugar Land","Houston",98,3484346,"Health",1
"3408",22846,3408,194,"Solectria Renewables","solectria-renewables","Massachusetts","MA","Lawrence","Boston",98,61121303,"Energy",1
"3409",580,3409,35,"Hightowers Petroleum","hightowers-petroleum","Ohio","OH","Middletown","Cincinnati",98,308022533,"Energy",5
"3410",22800,3410,146,"SWC Technology Partners","swc-technology-partners","Illinois","IL","Oak Brook","Chicago",98,25718203,"IT Services",3
"3411",1895,3411,11,"Fortis Riders","fortis-riders","South Carolina","SC","Greenville","Greenville-Mauldin-Easley SC",98,7939818,"Travel & Hospitality",6
